Spanish Phrase, Tweet Count (es), English Translation, Tweet Count (en)
Prospección, 0, Prospecting, 0, 
Energía Renovable, 0, Renewable energy, 0, 
Conservación, 0, Conservation, 0, 
Derechos Colectivos, 0, Collective Rights, 0, 
Conolophus, 0, 
Dundee, 0, 
Exploración, 0, Exploration, 0, 
Solar, 0, 
Precaución, 0, Caution, 0, 
Ancestral, 0, 
Llurimagua, 0, rainwater, 0, 
Newcrest, 0, newcrest, 0, 
Explotación , 0, Exploitation, 0, 
Eólica, 0, Wind, 1, 
Prevención, 0, Prevention, 0, 
Comunidad, 1, Community, 84, 
Intracampos 2, 0, intrafield 2, 0, 
Inv, 0, 
Monitoreo, 0, monitoring, 0, 
Hidroeléctrica, 0, hydroelectric, 0, 
Causión, 0, causation, 0, 
Mancomunidad, 0, Commonwealth, 0, 
Sur Oriente, 0, south east, 0, 
Codelco, 0, 
Metálica, 0, metallic, 0, 
Petróleo, 0, Petroleum, 0, 
Amazónica, 0, Amazon, 2, 
ODS , 0, SDGs, 2, 
Nacionalidad, 0, Nationality, 0, 
Suroriente, 0, southeast, 2, 
Solgold, 0, sungold, 0, 
Subsistencia, 0, Subsistence, 0, 
Crudo, 0, Crude, 0, 
Empleo Preferente, 0, Preferred Employment, 0, 
Objetivos de Desarrollo Sostenible, 0, Sustainable Development Goals, 1, 
Comuna, 0, Commune, 0, 
Proyectos eléctricos no convencionales, 0, Unconventional electrical projects, 0, 
Gran TIerra, 0, great earth, 0, 
Áreos, 0, areas, 0, 
Hidrocarburífero, 0, hydrocarbon, 0, 
Gas Natural, 0, Natural gas, 0, 
Zonas Protegidas, 0, Protected Areas, 0, 
Etnia, 0, ethnicity, 0, 
Lomelarda, 0, lomelarda, 0, 
Frontera, 1, Border, 0, 
Pétridos, 0, petrids, 0, 
Pozo, 0, Well, 6, 
Ciclo Combinado, 0, Combined cycle, 0, 
Áreas Protegidas, 0, Protected areas, 0, 
Shuar, 0, 
Río Blanco, 0, White River, 0, 
Plus Petrol, 0, 
Artesanal, 0, handmade, 0, 
Racín, 0, racin, 0, 
Fotovoltáico, 0, photovoltaic, 0, 
Bosques protectores, 0, protective forests, 0, 
Kichwa, 0, kichwa, 0, 
Fruta del Norte, 0, fruit of the north, 0, 
Orion, 0, 
Pequeña Escala, 0, Small scale, 0, 
Perforacion (y derivadas), 0, Perforation (and derivatives), 0, 
Biomasa, 0, biomass, 0, 
Corredores, 0, runners, 0, 
Quechua, 0, 
Lowell, 0, lowell, 0, 
Mediana Escala, 0, medium scale, 0, 
Concesión Petrolera, 0, oil concession, 0, 
Fuentes hídricas, 0, water sources, 0, 
Consulta Previa, 0, Prior Consultation, 0, 
Huaorani, 0, huaorani, 0, 
BHP, 0, bhp, 0, 
Gran Escala, 0, Big scale, 0, 
Transporte , 1, Transport, 0, 
Represas Hidroeléctricas, 0, Hydroelectric Dams, 0, 
Consulta Prelegislativa, 0, Pre-legislative Consultation, 0, 
Sarayaku, 0, 
Solaris, 0, 
Preciosos, 0, Beautiful, 3, 
Taladro, 0, Drill, 0, 
SNI, 0, 
Consulta Ambiental, 0, Environmental Consultation, 0, 
Pueblos, 0, towns, 0, 
Oro, 1, Prayed, 0, 
Oleoducto, 0, Pipeline, 0, 
Alta tensión, 0, High voltage, 0, 
Caudal, 0, Flow, 4, 
Indígenas, 0, Natives, 0, 
Cobre, 0, Copper, 0, 
Línea de Gas, 0, gas line, 0, 
Juntas, 0, together, 3, 
Transporte Minerales, 0, Mineral Transport, 0, 
SOTE, 0, 
Hídrico, 0, water, 2, 
Maquinaria Minera, 0, mining machinery, 0, 
Línea de base diferencial, 0, Differential baseline, 0, 
Ecológico, 0, Ecological, 0, 
Mina, 1, Mine, 3, 
Pozo Maduro, 0, mature well, 0, 
Recarga, 0, recharge, 0, 
Cielo Abierto, 0, Open sky, 2, 
Barril, 0, Barrel, 0, 
Fuentes Hídricas, 0, water sources, 0, 
Consesión Minera, 0, mining concession, 0, 
OCP, 0, 
Fuentes de recarga hídrica, 0, water recharge sources, 0, 
Agencia de Regulación y control Minero, 0, Mining Regulation and Control Agency, 0, 
Agencia de Regulación y Control de Hidrocarburos, 0, Hydrocarbons Regulation and Control Agency, 0, 
Rios, 0, rivers, 0, 
Lagos, 2, lakes, 0, 
Lagunas, 0, lagoons, 0, 
Páramos, 0, We stopped, 0, 
Humedales, 0, wetlands, 0, 
Caudal Ecológico, 0, Ecological flow, 0, 
Cause, 1, causes, 0, 
Contaminación, 0, Contamination, 0, 
Afectación, 0, Affectation, 0, 
Ph negativo, 0, ph negative, 0, 
Anfibios, 0, amphibians, 0, 
Ranas, 0, frogs, 2, 
Sapos, 0, toads, 1, 
Zona de influencia, 0, Influence zone, 0, 
Zona de impacto, 0, impact zone, 0, 
Especies en peligro, 0, Endangered species, 0, 
